Linie;Farbentitel;RAL;C;M;Y;K;R;G;B;Hex
FEX;Perlrubinrot;RAL 3032;0;100;30;55;121;18;47;#79122f
RB10;Gelbgruen;RAL 6018;65;0;100;5;102;170;34;#66aa22
RB12;Verkehrspurpur;RAL 4006;40;100;0;0;165;2;125;#a5027d
RB14;Verkehrspurpur;RAL 4006;40;100;0;0;165;2;125;#a5027d
RB20;Smaragdgruen;RAL 6001;100;30;100;0;0;119;52;#007734
RB21;;;85;100;0;0;80;22;137;#501689
RB22;Lichtblau;RAL 5012;80;20;0;0;0;155;213;#009bd5
RB23;Hellrotorange;RAL 2008;0;65;100;0;235;116;5;#eb7405
RB24;Erikaviolett;RAL 4003;10;70;0;0;218;107;162;#da6ba2
RB25;Himmelblau;RAL 5015;100;30;0;10;0;124;176;#007cb0
RB26;Minttuerkis;RAL 6033;100;0;55;0;0;150;134;#009686
RB27;Verkehrsrot;RAL 3020;0;100;100;0;226;0;26;#e2001a
RB31;Gelbgruen;RAL 6018;65;0;100;5;102;170;34;#66aa22
RB32;Blaugrau;RAL 7031;40;0;0;60;105;124;138;#697c8a
RB33;Verkehrspurpur;RAL 4006;40;100;0;0;165;2;125;#a5027d
RB34;Verkehrsblau;RAL 5017;100;50;0;5;0;102;173;#0066ad
RB35;Blaulila;RAL 4005;55;60;0;5;129;109;166;#816da6
RB36;Kupferbraun;RAL 8004;25;70;80;15;173;89;55;#ad5937
RB37;Kupferbraun;RAL 8004;25;70;80;15;173;89;55;#ad5937
RB43;Lichtblau;RAL 5012;80;20;0;0;0;155;213;#009bd5
RB45;Verkehrsgelb;RAL 1023;0;15;100;0;255;213;2;#ffd502
RB46;Erikaviolett;RAL 4003;10;70;0;0;218;107;162;#da6ba2
RB49;Purpurrot;RAL 3004;40;95;60;10;153;39;70;#992746
RB51;Erikaviolett;RAL 4003;10;70;0;0;218;107;162;#da6ba2
RB54;Blaulila;RAL 4005;55;60;0;5;129;109;166;#816da6
RB55;Hellrotorange;RAL 2008;0;65;100;0;235;116;5;#eb7405
RB60;Gelbgruen;RAL 6018;65;0;100;5;102;170;34;#66aa22
RB61;Purpurrot;RAL 3004;40;95;60;10;153;39;70;#992746
RB62;Erikaviolett;RAL 4003;10;70;0;0;218;107;162;#da6ba2
